product_id,title,description,category,price,avg_rating,num_reviews
P1,Wireless Noise-Cancelling Headphones,Compact and lightweight Wireless Noise-Cancelling Headphones suitable for remote work and travel. Plug-and-play setup with no drivers required.,Electronics,37.83,4.5,2018
P2,Bluetooth Portable Speaker,"High-performance Bluetooth Portable Speaker designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,46.15,3.4,4479
P3,True Wireless Earbuds Pro,"High-performance True Wireless Earbuds Pro designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,179.19,3.3,779
P4,USB-C Charging Hub 7-Port,"High-performance USB-C Charging Hub 7-Port designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,73.62,4.3,4609
P5,Smart LED Desk Lamp,"High-performance Smart LED Desk Lamp designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,216.22,4.5,3448
P6,Mechanical Gaming Keyboard,"High-performance Mechanical Gaming Keyboard designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,137.51,3.7,65
P7,Ergonomic Wireless Mouse,"High-performance Ergonomic Wireless Mouse designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,210.94,3.8,1285
P8,4K Webcam with Ring Light,"High-performance 4K Webcam with Ring Light designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,287.37,3.8,771
P9,Portable Laptop Stand Adjustable,Next-generation Portable Laptop Stand Adjustable with advanced connectivity options. Engineered for reliability and optimised for both productivity and entertainment.,Electronics,33.52,4.7,2178
P10,USB-C to HDMI Adapter 4K,"High-performance USB-C to HDMI Adapter 4K designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,220.26,4.2,3112
P11,Wireless Charging Pad 15W,"High-performance Wireless Charging Pad 15W designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,167.84,4.7,2974
P12,Noise-Cancelling Microphone USB,Compact and lightweight Noise-Cancelling Microphone USB suitable for remote work and travel. Plug-and-play setup with no drivers required.,Electronics,61.72,3.3,1878
P13,Smart Plug Wi-Fi Enabled,Next-generation Smart Plug Wi-Fi Enabled with advanced connectivity options. Engineered for reliability and optimised for both productivity and entertainment.,Electronics,295.63,4.7,839
P14,Portable Power Bank 20000mAh,Next-generation Portable Power Bank 20000mAh with advanced connectivity options. Engineered for reliability and optimised for both productivity and entertainment.,Electronics,86.99,4.3,3000
P15,Graphic Tablet Drawing Pad,"High-performance Graphic Tablet Drawing Pad designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,114.19,3.6,2199
